Date : 2024-04-12 11:20:00
Directory : z:\CollegeProjects\DungeonDudeP400\Assets\Scripts
Total : 113 files,  5543 codes, 823 comments, 756 blanks, all 7122 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        112 |      5,522 |        823 |        756 |      7,101 |
| UnityAssemblyDefinition |          1 |         21 |          0 |          0 |         21 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        113 |      5,543 |        823 |        756 |      7,122 |
| . (Files)                                                                                                        |          2 |         33 |          1 |          2 |         36 |
| Gameplay                                                                                                         |        103 |      5,210 |        788 |        717 |      6,715 |
| Gameplay (Files)                                                                                                 |          8 |        535 |         53 |         78 |        666 |
| Gameplay\Character                                                                                               |         72 |      3,019 |        524 |        420 |      3,963 |
| Gameplay\Character (Files)                                                                                       |         18 |        846 |        101 |        128 |      1,075 |
| Gameplay\Character\BT                                                                                            |          8 |        314 |         36 |         40 |        390 |
| Gameplay\Character\DataScripts                                                                                   |          3 |         63 |          0 |          8 |         71 |
| Gameplay\Character\FSM                                                                                           |          9 |        393 |         16 |         56 |        465 |
| Gameplay\Character\FSM (Files)                                                                                   |          5 |        214 |         13 |         31 |        258 |
| Gameplay\Character\FSM\States                                                                                    |          4 |        179 |          3 |         25 |        207 |
| Gameplay\Character\FSM\States\HeroStates                                                                         |          4 |        179 |          3 |         25 |        207 |
| Gameplay\Character\GOAP                                                                                          |         23 |        982 |         90 |        129 |      1,201 |
| Gameplay\Character\GOAP (Files)                                                                                  |          3 |        130 |         21 |         19 |        170 |
| Gameplay\Character\GOAP\Actions                                                                                  |         10 |        433 |         38 |         43 |        514 |
| Gameplay\Character\GOAP\Goals                                                                                    |         10 |        419 |         31 |         67 |        517 |
| Gameplay\Character\Hero                                                                                          |         11 |        421 |        281 |         59 |        761 |
| Gameplay\Character\Hero (Files)                                                                                  |          6 |        365 |        260 |         42 |        667 |
| Gameplay\Character\Hero\Memories                                                                                 |          5 |         56 |         21 |         17 |         94 |
| Gameplay\Controls                                                                                                |          1 |        329 |         12 |         19 |        360 |
| Gameplay\Dungeon                                                                                                 |         22 |      1,327 |        199 |        200 |      1,726 |
| Gameplay\Dungeon (Files)                                                                                         |         13 |        875 |        155 |        156 |      1,186 |
| Gameplay\Dungeon\Monsters                                                                                        |          4 |        313 |         32 |         31 |        376 |
| Gameplay\Dungeon\traps                                                                                           |          5 |        139 |         12 |         13 |        164 |
| Utility                                                                                                          |          8 |        300 |         34 |         37 |        371 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                         | language                | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\DPS_TEST.cs                                                    | C#                      |         12 |          1 |          2 |         15 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\Attack.cs                                   | C#                      |         56 |          1 |          3 |         60 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\AgentDestination.cs                      | C#                      |         20 |          0 |          2 |         22 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\AttackTargetAction.cs                    | C#                      |         32 |          4 |          4 |         40 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\BT_Hero_Controller.cs                    | C#                      |        132 |         19 |         10 |        161 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\BT_Hero_Manager.cs                       | C#                      |         28 |          5 |          5 |         38 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\BehaviorTreeBuilderExtensions.cs         | C#                      |         21 |          0 |          3 |         24 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\CustomActionTemplate.cs                  | C#                      |         20 |          5 |          5 |         30 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\MoveToEngageEnemy.cs                     | C#                      |         31 |          2 |          6 |         39 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\BT\MoveToGoalAction.cs                      | C#                      |         30 |          1 |          5 |         36 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\CharacterMovement.cs                        | C#                      |         87 |          4 |          7 |         98 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\CharacterSenses.cs                          | C#                      |         90 |         18 |         13 |        121 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\DataScripts\CharacterData.cs                | C#                      |          9 |          0 |          2 |         11 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\DataScripts\HeroData.cs                     | C#                      |         22 |          0 |          3 |         25 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\DataScripts\HeroTraits.cs                   | C#                      |         32 |          0 |          3 |         35 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\EnemyController.cs                          | C#                      |         35 |          1 |          4 |         40 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\EnemyManager.cs                             | C#                      |         17 |          1 |          2 |         20 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\Entity.cs                                   | C#                      |         39 |          7 |          5 |         51 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\EntityProximityDetection.cs                 | C#                      |         77 |          9 |         10 |         96 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\EntityProximityDetectionBT_old.cs           | C#                      |         77 |          6 |          8 |         91 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\FSM\BaseState.cs                            | C#                      |          9 |          0 |          3 |         12 |
| z:\CollegeProjects\DungeonDudeP400\Assets\Scripts\Gameplay\Character\FSM\BaseStateMachine.cs                     | C#                      |         13 |          0 |          3 |         16 |
